Job Title,Company Name,Job Location,Job Description,Release Date,Seniority level,Employment type,Department,Industries
Data Analyst,Saks OFF 5TH,New York City Metropolitan Area,"Data Analyst, Marketing Analytics and InsightsSaks OFF 5TH is the premier online luxury off-price destination. Through its website and app, Saks OFF 5TH provides a compelling assortment of brands to fashion-seeking customers at the best prices. The company is reimagining traditional off-price with a digitally-native model focused on customer experience.What This Position Is All About:We are looking for a Data Analyst to draw insights from our extensive set of customer data. This requires proficiency in Business Intelligence (BI) tools, and a strong business sense.The right candidate will perform strategic business analyses for the Marketing team and synthesize findings to present to business leaders. These analyses will provide the foundation for future business strategies. The data that this candidate will model and analyze will then be used to monitor and identify areas for improvement. The right candidate will have the opportunity to further their knowledge in analytics within the digital marketing space and collaborate with various digital marketing channels to create holistic solutions for the marketing team. This individual is responsible for leading the analytics for the Marketing team.Who You Are:You are a strategic thinker with a detail-oriented, innovative mindset and track record of delivering consistent resultsYou are able to be highly detail oriented but also seek to understand the big pictureYou are efficient, analytical, solutions-orientedYou have a strong ability to tolerate ambiguity and ability to shift priorities to the most important task at handYou are experienced in deep dive analysis on customer attribute data to produce quality insights that drive marketing strategies and business valueUp-to-date with technological advancements in the analytics industryKey participant in customer insights conversations with Tech/Data and Marketing teamsYou are a team player who supports and motivates othersYou have a strong sense of ownership and accountability for the successful delivery of projectsYou Also Have:Required:Years of experience in a Data Analyst role (required)High proficiency in SQL and Python (required) to transform, manipulate and analyze customer attribute data (including transactions, web browsing, inventory) and turn into insights to drive business decisionsPreferred:Experience with Snowflake, Adobe Analytics, Tableau, AWS, Airflow, and SparkBachelor’s degree in a quantitative discipline (Statistics, Applied Mathematics, Economics, etc) or sufficient on-the-job use of related skillsMasters degree in quantitative discipline a plusExtensive experience with PowerPoint, Word, Excel, and Think-CellStrong ability to drive analyses that decomposes drivers of business performance across various dimensions: customer segment, product, selling channel, media channelStrong ability to concisely explain insights coming from complex data analyses through effective verbal/written communication and compelling data visualizationsAbility to manage multiple projects simultaneously and work autonomously with minimal supervisionStrong understanding of business drivers and KPIs that deliver leading and lagging indicators of retailer performanceMust be fully vaccinated against COVID-19 and, if hired, present proof of vaccination prior to beginning employmentPerform customer and transaction analysis to support Marketing teams with the delivery of targeted email and other digital mediaEnable customer insights by evaluating transaction and customer dataCollaborate with cross-functional stakeholders to optimize reporting systems and toolsScope and deliver on an analytical ask and work iteratively to refine a solution as neededBe a business partner with internal and external stakeholders to ensure that analytics and insights are embedded in decision makingDetermine best practices and develop actionable insights, triggers, models and recommendationsAble to help produce ad hoc data and reports.Prepare PowerPoint presentations alongside the Manager, Marketing Strategy to update and make recommendations to executive leadershipAssist in preparation of all materials for quarterly Board meetings and other internal strategic reviews (e.g. Monthly Marketing meeting, Town Halls, etc)Your Life and Career at Saks OFF 5TH:Be part of an empowered, innovative team; work with an adventurous spirit and a customer-centric mindset; play a critical role in making decisions that will position us to winExposure to rewarding career advancement opportunities across different functions within our corporate offices, retail stores, photo studios, and distribution centersA culture that promotes a flexible work environmentBenefits package for all eligible full-time employees (including medical, dental and vision)An amazing employee discount and other exciting perks",5 days ago,Mid-Senior level,Full-time,Information Technology,Retail
Data Analyst - Recent Graduate,PayPal,Buffalo-Niagara Falls Area,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary:We are seeking world-class problem solvers who have a passion for data and a relentless focus on execution and delivery. You will be most successful with a healthy combination of both, technical skills and business acumen. As a Data Analyst you will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, you will develop a deep understanding of the payments business, our site functionality, further strengthen your analytic, leadership and presentation skills and gain exposure to a wide variety of functional teams within PayPal.Job Description:Key ResponsibilitiesUnderstand how to make data visually appealing and simple to both navigate and comprehend for end-users Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems Identify key metrics and build exec-facing dashboards to track the progress of the business and its highest priority initiatives Identify key business levers, establish cause & effect, perform analyses, and communicate key findings to various stakeholders to facilitate data driven decision-making Work closely across the matrix with teams like Finance, Marketing, Product, Engineering and senior executives Lead and participate in special projects/initiatives: innovate and implement large-scale quality improvements to processes and/or systems by conducting data analysis and making recommendations, troubleshooting technical issues, and refining processes around customer support Basic Requirements:Experience with any or multiple of the following: Python, Java, Tableau, Jupyter Notebooks, Teradata, Hadoop/Hive, Oracle, JavaScript, SQL, Airflow, Linux, Perl, PHP Excellent understanding of computer science fundamentals, data structures, and algorithms Demonstrated experience, familiarity and ease with handling large data sets and crunching numbers Information Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experience Strong written and verbal communication skills with the ability to translate complex problems into simpler terms, and effectively influence both peers and senior leadership Recent Graduate Position Information and Requirements:This is a Recent Graduate Full-Time position. Must have graduated within the past 12 months, or will be graduating by Spring 2023, with a Bachelor’s or Master’s degree in Computer Science, Mathematics, Statistics, or related field from an accredited college or university. Must reside in the U.S. Must be able to obtain authorization to work in the U.S. Application ProcessNote - This job posting is a general advertisement for all PayPal Data Analyst opportunities for recent graduates. Applicants will be asked to complete a skills assessment via HackerRank Following the assessment, applicants will hear back from a University Recruiter with next steps.Position Location: Varies within U.S. PayPal Office LocationsglobaluniversitygraduatedataanalyticsOur Benefits:At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0092223",1 week ago,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services"
Data Analyst,Segpay,"Deerfield Beach, FL","Job SummaryThe Data Analyst is responsible for collecting, reviewing, and analyzing data. This position will serve as the main contact to help Stakeholders understand the data and use it to make strategic business decisions regarding our transaction processing business.Job ResponsibilityCreates and analyzes performance metrics on a data to day basisProvides reporting including but not limited to Ad-hoc reporting, short term reporting projects, exception reportsProvides feedback to continually improve the processDebugs and solves issues found within dataPresents findings to stakeholders through reports, graphs, visuals, and write-upsDevelops new analysis and insights to help drive decisions and strategies for optimization of business objectivesWorks with the Sales and Tech Support team to address any merchant inquiries regarding performance, helps identify any possible sources of the performance shiftsParticipates in agile product process to help during brainstorming and refining of new features and products with ideas on how to monitor and report on them after product launchAdvises Segpay team on exceptions that need to be addressedCollaborates with Product, Dev, QA and any other teams that work in data to help refine current products and systemsPerforms other duties and projects as assignedQualificationsBachelor’s Degree in Computer Science or equivalent work experience3+ years of experience in similar positionE-commerce/transaction processing industry experience (a plus)Excellent computer skillsKnowledge of data gathering, cleaning and transforming techniquesProficiency in Microsoft SQL and ExcelCoding skills in languages such as SQL, Python and/or RAbility to document their reports and analysis for future referenceExtensive experience querying large data setsEfficient time management skills and critical thinkingAnalytical and problem solving skillsProactive and goal-oriented self-starterExtremely clear and concise written and verbal communication skillsExcellent presentation skillsCapacity to work independently with minimal directionAbility to build rapport with othersEQUAL EMPLOYMENT OPPORTUNITY EMPLOYER",5 days ago,Entry level,Full-time,Information Technology,Software Development
Data Analyst,SimpleTire,United States,"The Data Analyst - eCommerce reports directly to our Head and Analytics and plays a critical role in influencing the SimpleTire operating strategy focused on better serving our customers each day. This individual will have a proven track record in leveraging analytical insights to influence strategic initiatives and delivering business-critical reporting to business leadership. The Data Analyst - eCommerce will be responsible for making the DTC group data-driven while empowering them to make decisions utilizing insights developed within the Analytics COE: Overview: Create actionable daily/weekly reporting to deliver emerging trends and insights on site performance including overall DtC KPIs, A/B Testing, and Personalization resultsWork on site analytics to effectively communicate impacts to performance for site enhancementsPerform actionable analysis on clickstream data to support optimizing page effectiveness, journey optimization, product, and content placement optimization, site friction points, traffic, and conversion metricsAnalyze customer data from Snowflake utilizing SQL to join, aggregate, and filter to effectively display results and identify opportunities for optimizationDesign and build user-friendly dashboards with high adoption rates. Regardless of the tool or approach, keep user experience in mind, creating visually engaging and relatively frictionless data environments.Develop models to uncover opportunities associated with site optimization, customer journey, and personalization to maximize customer lifetime valueAnalyze A/B tests -- including post-experiment analysisProactively identify business opportunities to innovate and drive results Skills: 1+ years of hands-on experience in Business Analytics with strong experience in statistical techniques and their application in solving business questions2+ years of experience in SQL and/or Python1+ years related experience in qualitative/quantitative analysis, reporting, ad hoc analysis1+ years of experience in DTC/Ecommerce analytics1+ years of experience with data visualization tools such as Power BI/TableauExperience with A/B, Multivariate testing and personalization is requiredExperience with GA360, Snowplow Analytics, or Adobe Analytics is requiredAdvanced understanding of site, customer, and performance marketing KPI’sBasic understanding of Google Tag Manager a plus Experience working with disparate data sets, data mining, data/text, visualization tools, and creation of dashboardsExcellent communication skills (written & verbal)",5 days ago,Associate,Full-time,Analyst,"Technology, Information and Internet, Manufacturing, and Business Consulting and Services"
Data Analyst - Recent Graduate,PayPal,"Chicago, IL","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary:We are seeking world-class problem solvers who have a passion for data and a relentless focus on execution and delivery. You will be most successful with a healthy combination of both, technical skills and business acumen. As a Data Analyst you will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, you will develop a deep understanding of the payments business, our site functionality, further strengthen your analytic, leadership and presentation skills and gain exposure to a wide variety of functional teams within PayPal.Job Description:Key ResponsibilitiesUnderstand how to make data visually appealing and simple to both navigate and comprehend for end-users Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems Identify key metrics and build exec-facing dashboards to track the progress of the business and its highest priority initiatives Identify key business levers, establish cause & effect, perform analyses, and communicate key findings to various stakeholders to facilitate data driven decision-making Work closely across the matrix with teams like Finance, Marketing, Product, Engineering and senior executives Lead and participate in special projects/initiatives: innovate and implement large-scale quality improvements to processes and/or systems by conducting data analysis and making recommendations, troubleshooting technical issues, and refining processes around customer support Basic Requirements:Experience with any or multiple of the following: Python, Java, Tableau, Jupyter Notebooks, Teradata, Hadoop/Hive, Oracle, JavaScript, SQL, Airflow, Linux, Perl, PHP Excellent understanding of computer science fundamentals, data structures, and algorithms Demonstrated experience, familiarity and ease with handling large data sets and crunching numbers Information Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experience Strong written and verbal communication skills with the ability to translate complex problems into simpler terms, and effectively influence both peers and senior leadership Recent Graduate Position Information and Requirements:This is a Recent Graduate Full-Time position. Must have graduated within the past 12 months, or will be graduating by Spring 2023, with a Bachelor’s or Master’s degree in Computer Science, Mathematics, Statistics, or related field from an accredited college or university. Must reside in the U.S. Must be able to obtain authorization to work in the U.S. Application ProcessNote - This job posting is a general advertisement for all PayPal Data Analyst opportunities for recent graduates. Applicants will be asked to complete a skills assessment via HackerRank Following the assessment, applicants will hear back from a University Recruiter with next steps.Position Location: Varies within U.S. PayPal Office LocationsglobaluniversitygraduatedataanalyticsOur Benefits:At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0092223",1 week ago,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services"
Data Analyst - Recent Graduate,PayPal,"Austin, TX","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary:We are seeking world-class problem solvers who have a passion for data and a relentless focus on execution and delivery. You will be most successful with a healthy combination of both, technical skills and business acumen. As a Data Analyst you will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, you will develop a deep understanding of the payments business, our site functionality, further strengthen your analytic, leadership and presentation skills and gain exposure to a wide variety of functional teams within PayPal.Job Description:Key ResponsibilitiesUnderstand how to make data visually appealing and simple to both navigate and comprehend for end-users Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems Identify key metrics and build exec-facing dashboards to track the progress of the business and its highest priority initiatives Identify key business levers, establish cause & effect, perform analyses, and communicate key findings to various stakeholders to facilitate data driven decision-making Work closely across the matrix with teams like Finance, Marketing, Product, Engineering and senior executives Lead and participate in special projects/initiatives: innovate and implement large-scale quality improvements to processes and/or systems by conducting data analysis and making recommendations, troubleshooting technical issues, and refining processes around customer support Basic Requirements:Experience with any or multiple of the following: Python, Java, Tableau, Jupyter Notebooks, Teradata, Hadoop/Hive, Oracle, JavaScript, SQL, Airflow, Linux, Perl, PHP Excellent understanding of computer science fundamentals, data structures, and algorithms Demonstrated experience, familiarity and ease with handling large data sets and crunching numbers Information Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experience Strong written and verbal communication skills with the ability to translate complex problems into simpler terms, and effectively influence both peers and senior leadership Recent Graduate Position Information and Requirements:This is a Recent Graduate Full-Time position. Must have graduated within the past 12 months, or will be graduating by Spring 2023, with a Bachelor’s or Master’s degree in Computer Science, Mathematics, Statistics, or related field from an accredited college or university. Must reside in the U.S. Must be able to obtain authorization to work in the U.S. Application ProcessNote - This job posting is a general advertisement for all PayPal Data Analyst opportunities for recent graduates. Applicants will be asked to complete a skills assessment via HackerRank Following the assessment, applicants will hear back from a University Recruiter with next steps.Position Location: Varies within U.S. PayPal Office LocationsglobaluniversitygraduatedataanalyticsOur Benefits:At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0092223",1 week ago,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services"
Data Analyst,The Exchange,Dallas-Fort Worth Metroplex,"The position is Data Analyst ** CRM ** ~ Statistical Modeling ~ for our CRM Directorate, with a primary focus on Big Data and Business Analytics for our retail organization - based out of Dallas TX.This position involves customer targeting for marketing, evaluate data trends and solutions that will drive company growth and further improve the customer experience.Major Duties:· Integrates data by accessing large data sets from multiple sources to develop standard and ad hoc reports, scorecards, and dashboards.·Assists in creating business insights through the use of a SQL database environment by efficiently connecting, querying and preparing customer relationship data.· Develops customer relationship testing parameters from multiple internal and external data sources to obtain meaningful and actionable recommendations.· Supports key customer marketing initiatives through monitoring, tracking and refreshing of analyses. Assembles graphical representations of complex analytics and communicates results to management and vendors.Job Qualifications:3 years’ experience extracting data using SAS/SQL or other data analysis tools required. Experience in the retail industry or working with customer relationship data preferred.OrBachelor’s degree and 1 year experience extracting data using SAS/SQL or other data analysis tools required. Experience in the retail industry or working with customer relationship data preferred.Technical (Preferred/Required Skills/Systems):·MICROSOFT OFFICE PRODUCTS - Required·SQL - Required Ideal Candidate will have the following:Must be proficient in Microsoft OfficeData analysis experience a mustExcellent interpersonal and verbal/written communication skills a mustExcellent organizational skills a mustMust be a team player with strong attention to detail, with the ability to work independentlyProven track record at delivering timely and accurate information in a fast-paced environmentExcellent critical thinking, problem solving and mathematical skills, using sound judgmentStrong business acumen and ability to interface with executive managementFor details please contact Talent Manager, Cynthia Horn at 214-312-4460",1 week ago,Not Applicable,Full-time,"Marketing, Art/Creative, and Sales",Retail
Business Data Analyst,Stella,"Chicago, IL","Who You’ll Work With:Stella is a team of people dedicated to advancing the understanding, destigmatization, and treatment of post-traumatic stress and other emotional trauma. We stay grounded in science, rooted in compassion, and are relentlessly committed to a world where no person needlessly suffers.We are a team of medical doctors, psychologists, patient care coordinators, and advocates committed to people's healing. We honor diversity and inclusivity, providing a space for all identities and backgrounds to show up each day as their authentic selves.We ask questions, challenge norms, confront inequities, push boundaries, and learn something new every day. At Stella, we continue to innovate like our lives depend on it -- because they do.What We Do:Those seeking relief deserve cutting-edge care. Stella is ushering in breakthrough treatments for trauma symptoms, stress, anxiety, and depression that are fast, effective, and backed by research.We are building the leading platform to connect those that have experienced PTSD or other emotional trauma with the most innovative and efficacious treatments, utilizing evidence-based pathways that relieve symptoms, all within a customized technology stack.The Stella platform is where people seeking trauma care can learn more about their condition, connect with others who understand what they’re feeling, and feel supported in finding the care that best meets their medical, financial, and practical needs.Stella’s core offering treats the symptoms of PTSD through a modification of a procedure called the Stellate Ganglion Block (SGB), a widely studied and highly effective procedure. SGB is just the beginning, as we are actively launching additional care modalities such as Ketamine, differentiated teletherapy, and many others. Our treatment program meets the needs before, during, and after treatment. This is the new model of trauma treatment. It’s what people in need of relief deserve.ABOUT THE ROLE:Stella is seeking a talented Business Data Analyst to join our collaborative and innovative team, whose core values are focused on leading every action with trust and kindness, taking bold action to transform emotional trauma, and earning respect through honesty and integrity. Our results are measured by the lives changed and trauma de-stigmatized, which should be at the forefront of our daily efforts.Reporting to the co-founder and Chief Financial & Strategy Officer, you will work across all teams within the business to develop and maintain all data functions, including managing the backend database hosted in AWS Redshift, creating/maintaining ETL scripts to pull in and clean data from external sources, and visualizing reports using Stella’s BI tool.This person will use insights pulled from data to directly influence all business functions, which include the full revenue lifecycle, including strategy, implementation, execution, and analysis of all paid and organic marketing efforts, network, and provider referral channels, and partnerships in pursuit of improving and optimizing patient acquisition and retention rates. The Business Data Analyst will also be pivotal in building out Stella’s medical outcomes to both demonstrate the efficacy of the company’s industry leading treatments and further its clinical protocols through data insights. This role is both analytical in nature, as well as strategic, as all analyses should directly relate to growing the business and helping mental trauma sufferers find relief from their worst symptoms. We expect our Business Data Analyst to understand the importance of community, the sensitivity of trauma, and the mission to eliminate needless suffering.Responsibilities:● Database ManagementStella currently maintains a PostgreSQL backend database hosted on AWS RedShift, where all data lives. The Business Data Analyst will take over sole control of this existing system, where data from external sources must be cleaned in order to power the front-end data visualization. Saved views written within RedShift will power BI downstream.● ETL ImplementationStella’s early-stage status means we are constantly onboarding new systems, whose data we must capture and analyze. The Business Data Analyst will continue pulling in these data sources via ETL tools like Stitch, Fivetran, and/or custom Python scripts.●Report Visualization AutomationStella currently uses a new BI tool called Holistics, where a complex system of datasets and dashboards are being used by different stakeholders across the business. The Business Data Analyst will take over maintenance of these dashboards, as well as create any new automated dashboards that need to be built.● Ad Hoc AnalysisThe Business Data Analyst will run ad-hoc analyses for teams across the business using existing/new datasets, often involving one-time Excel pulls & pivots.● Insights and RecommendationsThe Business Data Analyst will be empowered to present data informed recommendations to the C-Suite to drive the company forward.Qualifications: ● 3+ years of experience with SQL● Experience managing marketing & customer-funnel data● Experience with Python● Experience with AWS● Experience with Salesforce (UI and/or backend data structure)● Bachelor's Degree in Economics, CS, or a related degree● 1+ years of experience in the DTC and/or Healthcare industries● Comfortability presenting data to a variety of stakeholders, include C-Suite and Board executives● Creative problem solver with an eye for detail",6 days ago,Mid-Senior level,Full-time,"Analyst, Business Development, and Information Technology","Mental Health Care, Wellness and Fitness Services, and Hospitals and Health Care"
Data Analyst,DB Schenker,"Miami, FL","Responsible for providing reports on sales performance (e.g. ad-hoc and special reports, leadership reports etc.), sales KPIs, and day-to-day data support and functional enhancement of the CRM system for sales stakeholders in the region. Provide proactive regional support and alignment with Corporate Performance Management/CRM tasks and provision of skill services. Tasks & Responsibilities: • Support the implementation of standardized approaches, reports and attributes on regional level • Support the implementation of metrics and KPIs for sales performance measurement and tracking on regional level • Support the review of internal performance reports on regional level regarding data accuracy and data quality, conduct corrective actions • Support to provide relevant stakeholders with internal and external reports on sales performance in the assigned region • Support to act as the interface to Corporate and countries and commonly identify further demands and areas of application for sales performance services to leverage untapped efficiency potentials Deliverables & Achievables: • Execute CRM data Analyst tasks to coordinate all CRM system related topics on a regional level (e.g., CRM adoption, creating and merging accounts, ensuring account assignments, initiating mass uploads, assurance of data quality) This is a senior level position. Exceptional interpersonal, analytical, problem-solving, and communication skills required. QualificationsBachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience1 - 2 years' Data Analysis experienceProficient in SQLGenerally, prefer 3-6 years of related experience. The individual in this position must be capable of performing all of the essential functions with or without a reasonable accommodation.Must be able to pass any federal/state/local government, airport, or company-required background checks, clearances, and/or drug and alcohol",6 days ago,Entry level,Full-time,Information Technology,Truck Transportation
Data Analyst,SimpleTire,"United, PA","Manager, eCommerce, Data AnalyticsWhat is SimpleTire?We think there’s a better way when it comes to getting work done on your car. Starting with tire replacement. A way that’s more welcome, that’s more you. That gets you to what you need, more quickly. Helps you feel smart about your choices, and gets you on your way, feeling good. A way better experience for tire replacement. That's our way. That’s our promise.Our network stretches across the country with 10,000+ installers and 3,000+ independent supply points. We employ hundreds of people, support thousands of local businesses, and strive to empower everyone along the process.To learn more about SimpleTire, visit https://simpletire.com/aboutPosition OverviewThe Data Analyst - eCommerce reports directly to our Head and Analytics and plays a critical role in influencing the SimpleTire operating strategy focused on better serving our customers each day. This individual will have a proven track record in leveraging analytical insights to influence strategic initiatives and delivering business-critical reporting to business leadership.The Data Analyst - eCommerce will be responsible for making the DTC group data-driven while empowering them to make decisions utilizing insights developed within the Analytics COE:Overview:Create actionable daily/weekly reporting to deliver emerging trends and insights on site performance including overall DtC KPIs, A/B Testing, and Personalization resultsWork on site analytics to effectively communicate impacts to performance for site enhancementsPerform actionable analysis on clickstream data to support optimizing page effectiveness, journey optimization, product, and content placement optimization, site friction points, traffic, and conversion metricsAnalyze customer data from Snowflake utilizing SQL to join, aggregate, and filter to effectively display results and identify opportunities for optimizationDesign and build user-friendly dashboards with high adoption rates. Regardless of the tool or approach, keep user experience in mind, creating visually engaging and relatively frictionless data environments.Develop models to uncover opportunities associated with site optimization, customer journey, and personalization to maximize customer lifetime valueAnalyze A/B tests -- including post-experiment analysisProactively identify business opportunities to innovate and drive resultsSkills:1+ years of hands-on experience in Business Analytics with strong experience in statistical techniques and their application in solving business questions2+ years of experience in SQL and/or Python1+ years related experience in qualitative/quantitative analysis, reporting, ad hoc analysis1+ years of experience in DTC/Ecommerce analytics1+ years of experience with data visualization tools such as Power BI/TableauExperience with A/B, Multivariate testing and personalization is requiredExperience with GA360, Snowplow Analytics, or Adobe Analytics is requiredAdvanced understanding of site, customer, and performance marketing KPI’sBasic understanding of Google Tag Manager a plusExperience working with disparate data sets, data mining, data/text, visualization tools, and creation of dashboardsExcellent communication skills (written & verbal)Working Conditions and Physical EffortAbility to sit for long periods of time.Continuous computer screen viewing and typingPowered by JazzHRIcXsjM0tOH",4 days ago,Mid-Senior level,Full-time,Information Technology,Motor Vehicle Manufacturing
